Ramp 10.00 øC/min to 260.00 øC,,
Time,Temperature,Heat Flow (Normalized)
min,øC,W/g
1.86,32.03,-0.305
1.86,32.04,-0.305
1.86,32.06,-0.305
1.86,32.08,-0.305
1.87,32.09,-0.305
1.87,32.11,-0.305
1.87,32.13,-0.305
1.87,32.14,-0.305
1.87,32.16,-0.305
1.87,32.18,-0.305
1.88,32.19,-0.305
1.88,32.21,-0.305
1.88,32.23,-0.305
1.88,32.24,-0.305
1.88,32.26,-0.305
1.88,32.28,-0.306
1.88,32.29,-0.306
1.89,32.31,-0.306
1.89,32.33,-0.306
1.89,32.34,-0.306
1.89,32.36,-0.306
1.89,32.38,-0.306
1.89,32.39,-0.306
1.9,32.41,-0.306
1.9,32.43,-0.306
1.9,32.44,-0.306
1.9,32.46,-0.306
1.9,32.48,-0.306
1.91,32.49,-0.306
1.91,32.51,-0.306
1.91,32.52,-0.306
1.91,32.54,-0.306
1.91,32.56,-0.306
1.91,32.58,-0.306
1.92,32.59,-0.306
1.92,32.61,-0.306
1.92,32.62,-0.306
1.92,32.64,-0.306
1.92,32.66,-0.306
1.92,32.67,-0.306
1.93,32.69,-0.306
1.93,32.71,-0.306
1.93,32.72,-0.306
1.93,32.74,-0.306
1.93,32.76,-0.307
1.93,32.78,-0.307
1.93,32.79,-0.307
1.94,32.81,-0.307
1.94,32.82,-0.307
1.94,32.84,-0.307
1.94,32.86,-0.307
1.94,32.87,-0.307
1.94,32.89,-0.307
1.95,32.91,-0.307
1.95,32.92,-0.307
1.95,32.94,-0.307
1.95,32.96,-0.307
1.95,32.97,-0.307
1.96,32.99,-0.307
1.96,33.01,-0.307
1.96,33.02,-0.307
1.96,33.04,-0.307
1.96,33.06,-0.307
1.96,33.07,-0.307
1.97,33.09,-0.307
1.97,33.11,-0.307
1.97,33.12,-0.307
1.97,33.14,-0.307
1.97,33.16,-0.307
1.97,33.17,-0.307
1.98,33.19,-0.307
1.98,33.21,-0.307
1.98,33.22,-0.307
1.98,33.24,-0.308
1.98,33.26,-0.308
1.98,33.27,-0.308
1.98,33.29,-0.308
1.99,33.31,-0.308
1.99,33.32,-0.308
1.99,33.34,-0.308
1.99,33.36,-0.308
